English,French
Are those for me?,Celles-là sont-elles pour moi ?
I'm lonely.,Je me sens seul.
I know Tom is in.,Je sais que Tom est dedans.
Where can you buy books?,Où peut-on acheter des livres ?
I want to stay with you.,Je veux rester avec toi.
They heard it on the radio.,Ils l'entendirent à la radio.
You're welcome! , Vous êtes les bienvenus!
Food costs money.,La nourriture coûte de l'argent.
She took me by the hand.,Elle m'a pris par la main.
I know your face.,Je connais ton visage.
That wouldn't be any fun.,Ça ne serait pas du tout amusant.
Don't you want to meet Tom?,Ne voulez-vous pas rencontrer Tom ?
You're very busy.,Tu es fort occupé.
I'll pray hard.,Je prierai de toutes mes forces.
I really don't think so.,Je ne le pense vraiment pas.
You still with me?, Tu es toujours avec moi?
You're too slow.,Vous êtes trop lent.
I found a solution.,J'ai trouvé une solution.
Cancel booking, Annuler la réservation
He speaks too fast.,Il parle trop vite.
You're young and strong.,Vous êtes jeune et fort.
I felt happy.,Je me suis senti heureux.
"I'm happy, too.",Je suis également heureux.
I don't feel like eating.,Je n'ai pas envie de manger.
Let's just try it.,Tentons-le !
Thank you!, Je vous remercie!
You've been warned.,Vous avez été prévenu.
I hate it here.,Je déteste cet endroit.
I want to say I'm sorry.,Je veux dire que je suis désolée.
Who sent you here?,Qui t'a envoyée ici ?
Are we still connected?, Sommes-nous toujours connectés?
He was too shy to do that.,Il était trop timide pour faire ça.
You can check it there too. ^_^, Vous pouvez également le vérifier ici. ^ _ ^
So they will be notified and action right away. , Ils seront donc informés et agiront immédiatement.
I don't want to go bowling.,Je ne veux pas aller faire du bowling.
May I know your itinerary number? , Puis-je connaître votre numéro d'itinéraire?
I met him at the station.,Je l'ai rencontré à la gare.
I finished first.,J'ai terminé première.
Open the door.,Ouvre la porte.
We have a plan.,Nous avons un plan.
Take care of yourselves!,Prenez soin de vous !
Are we still connected?  , Sommes-nous toujours connectés?
The job is almost done.,Le travail est presque fait.
Perfect. , Parfait.
Your room is really clean.,Ta chambre est vraiment très propre.
They are exhausted.,Ils sont exténués.
"Yes, that's the one I have, sorry."," Oui, c'est celui que j'ai, désolé."
We partied all night long.,Nous fîmes la fête toute la nuit.
He got across the river.,Il a traversé la rivière.
What's up?,Ça va ?
I couldn't stop laughing.,Je ne pouvais m'empêcher de rire.
Is everybody here?,Tout le monde est-il là ?
I confessed.,Je l'ai confessé.
Take as much as you like.,Prenez-en tant que vous en voulez !
I'm still a member.,Je suis toujours membre.
She called him bad names.,Elle l'a appelé de tous les noms.
I'm really sorry for the long wait., Je suis vraiment désolé pour la longue attente.
"Thank you, give me 3 minutes."," Merci, donnez-moi 3 minutes."
I was fired without cause.,J'ai été renvoyée sans raison.
Thank you., Je vous remercie.
This one is a lot easier.,Celle-ci est beaucoup plus facile.
Forget I said that.,Oubliez que j'ai dit cela.
The weather is nice today.,Il fait beau aujourd'hui.
I'm doing the best I can.,Je fais du mieux que je peux.
Be nicer to your sister.,Soyez plus gentil avec votre sœur.
They said you were fired.,Elles ont dit que tu étais virée.
He is an evil man.,C'est un méchant homme.
I was distracted.,J'ai été distraite.
I thought you were asleep.,Je pensais que tu étais endormi.
Let's see what you can do.,Voyons voir ce que tu peux faire.
I eat there every night.,J'y mange chaque soir.
Select booking, Sélectionnez la réservation
He has money.,Il dispose d'argent.
We have no water.,Nous ne disposons pas d'eau.
Don't drink that.,Ne bois pas ça !
She is habitually late.,Elle est habituellement en retard.
The warnings were ignored.,Les avertissements ont été ignorés.
What can you do about it?,Que pouvez-vous y faire ?
Tom tried to sleep.,Tom a essayé de dormir.
Could you make room for me?,Pourrais-tu me faire de la place ?
You're welcome. , De rien.
"I see that, thanks for confirming."," Je le vois, merci d'avoir confirmé."
We're shaken.,Nous sommes remués.
I found the leak.,J'ai trouvé la fuite.
She could die.,Il se pourrait qu'elle meure.
Don't trust anybody.,Ne vous fiez à personne !
Is that your mom?,Est-ce votre mère ?
Dates/Times, Dates / heures
Tom isn't busy right now.,Tom n'est pas occupé là maintenant.
You go first.,Toi d'abord.
I'm a farmer.,Je suis agriculteur.
I did warn you.,Je vous avais prévenue.
Are you still there?, Tu es encore la?
Why don't you sit down?,Pourquoi ne vous asseyez-vous pas ?
I knew who my enemies were.,Je savais qui étaient mes ennemis.
I made muffins.,J'ai fait des muffins.
There was a refund of 58.90 GBP. ," Il y a eu un remboursement de 58,90 GBP."
No problem. , Aucun problème. ?
Thank you., Je vous remercie.
Try with different email, Essayez avec différents e-mails
Bear with me a minute., Restez avec moi une minute.
I miss you already.,Tu me manques déjà.
Thank you so much for raising this., Merci beaucoup d'avoir soulevé cette question.
Are you still with me?, es-tu encore avec moi?
almost done., presque fini.
This is my favorite color.,C'est ma couleur préférée.
You're creative.,Vous êtes créatif.
I see!, Je vois!
"Thank you. One moment, please.", Je vous remercie. Un instant s'il vous plaît.
I prefer warmer weather.,Je préfère un temps plus chaud.
It doesn't matter much.,Peu importe.
I'd agree.,Je serais d'accord.
Do you speak French?,Vous parlez le français ?
May I know is your name attached on the booking?, Puis-je savoir que votre nom figure sur la réservation?
I lost my way in Boston.,Je me suis perdu dans Boston.
I know how hard that is.,Je sais à quel point c'est difficile.
They have already begun.,Ils ont déjà commencé.
It was nowhere to be seen.,On ne le trouvait nulle part.
I'm a masochist.,Je suis masochiste.
You're welcome., De rien.
I'm not as rich as I was.,Je ne suis pas aussi riche que je l'étais.
Take anything you want.,Prends ce que tu veux.
Louis here. , Louis ici.
I know you don't trust us.,Je sais que vous ne nous faites pas confiance.
It was a fluke.,C'était un coup de chance.
Please bear with me.," S'il vous plaît, supportez-moi."
He liked that.,Il a apprécié cela.
I have just eaten lunch.,Je viens juste de finir de déjeuner.
I've lost my key.,J'ai perdu ma clef.
I'm satisfied with my work.,Je suis content de mon travail.
Anything else I can assist?, Autre chose que je peux aider?
You're cool.,T'es décontracté.
They fought until the end.,Elles se sont battues jusqu'au bout.
She fell in love with him.,Elle est tombée amoureuse de lui.
"I'm afraid, yes."," J'ai peur, oui."
Are you proud of me?,Es-tu fier de moi ?
This rose is beautiful.,Cette rose est jolie.
He was like a father to me.,Il fut comme un père pour moi.
"Hello, are you there?", Bonjour êtes-vous là?
Sorry for the long wait., Désolé pour la longue attente.
He is at his desk.,Il est à son bureau.
I don't really like horses.,Je n'aime pas vraiment les chevaux.
Thank you! , Je vous remercie!
Tom studies hard.,Tom étudie beaucoup.
Did you read them?,Les as-tu lus ?
Things are different here.,Les choses sont différentes ici.
He lives by himself.,Il vit seul.
He is either drunk or mad.,"Soit il est saoul, soit il est fou."
I'm the teacher.,Je suis la professeur.
I'm not easily impressed.,Je ne suis pas facilement impressionné.
They're surprised.,Ils sont surpris.
No , Non
Let me send email to the hotel., Permettez-moi d'envoyer un e-mail à l'hôtel.
It is easy to play tennis.,Jouer au tennis est facile.
They stood on the hilltop.,Elles se tenaient au haut de la colline.
The kids are already here.,Les enfants sont déjà là.
I was talking about you.,Je parlais de vous.
The bath is ready.,Le bain est prêt.
Was that so hard?,Était-ce si difficile ?
Perfect1, Perfect1
Great! Thank you very much for you understanding., Génial! Merci pour votre compréhension.
Okay. Thank you. , D'accord. Je vous remercie.
d, ré
Nobody hates my country.,Personne ne déteste mon pays.
I'm not dumb.,Je ne suis pas abruti.
Did I ask for your help?,Ai-je demandé ton aide ?
Why did you let Tom go?,Pourquoi as-tu laissé Tom y aller ?
Thank you for your patience., Merci pour votre patience.
We've all got ears.,Nous sommes tous pourvus d'oreilles.
I'm speaking with a representative., Je parle avec un représentant.
I felt the same way.,J'ai éprouvé la même chose.
I'm Tom's French teacher.,Je suis le professeur de français de Tom.
Didn't anyone question you?,Personne ne t'a-t-il questionné ?
I'm an attorney.,Je suis avocate.
You're not late.,Vous n'êtes pas en retard.
I used to hate you.,Je te détestais.
I can hardly swim.,Je sais à peine nager.
Tom is too young for that.,Tom est trop jeune pour cela.
How can I help you today?, Comment puis-je vous aider aujourd'hui?
I already said yes.,J'ai déjà dit oui.
Did someone pay for this?,Est-ce que quelqu'un a payé pour ceci ?
I thought you knew.,Je pensais que vous saviez.
The drop off is going to be the same at 10:30 am?, Le retour sera le même à 10h30?
Have you read Tom's book?,As-tu lu le livre de Tom ?
Please reconsider.,Veuillez encore y réfléchir.
I don't know what's wrong.,J'ignore ce qui ne va pas.
She makes a good living.,Elle gagne bien sa vie.
His clothes are worn out.,Ses vêtements sont usés.
Yup. I'll just document this in a bit., Ouaip. Je vais simplement documenter cela dans un peu.
Tom felt great.,Tom se sentait très bien.
"No, the Chase itinerary number"," Non, le numéro de l'itinéraire Chase"
Our school burned down.,Notre école a brûlé.
I drank beer last night.,J'ai bu de la bière la nuit dernière.
How old are you?,Tu as quel âge ?
I have nobody to play with.,Je n'ai personne avec qui jouer.
I sat on the sofa.,Je me suis assis sur le canapé.
Don't you remember my name?,Ne te souviens-tu pas de mon nom ?
No its coming from the airlines, Pas sa venue des compagnies aériennes
I never saw you.,Je ne vous ai jamais vues.
Are you still there?, Tu es encore la?
"따라서 1인당 127,470 KRW으로 보이구요", 따라서 1 인당 127 470 KRW 으로 보이 구요
"Tell me, how can I help you?"," Dites-moi, comment puis-je vous aider?"
I'm allergic to seafood.,Je suis allergique aux fruits de mer.
I want to be left alone.,Je veux qu'on me laisse seul.
I fed the dog.,J'ai nourri la chienne.
How much did it cost us?,Combien ça nous a coûté ?
Tom didn't like school.,Tom n'aimait pas l'école.
Is there someone with you?,Quelqu'un est-il avec toi ?
The well ran dry.,Le puits se tarit.
Put yourself in my place.,Mettez-vous à ma place.
Meet me at the hotel bar.,On se retrouve au bar de l'hôtel !
You have a lot of nerve!,"Tu en as, du courage !"
"Sing us a song, please.","Chante-nous une chanson, s'il te plaît."
Still there?, Toujours là?
He walked along the river.,Il marchait le long de la rivière.
That's why Tom won.,C'est pourquoi Tom a gagné.
They're dangerous.,Ils sont dangereux.
I'd be happy to cooperate.,Je serais ravi de coopérer.
Do you know what this is?,Savez-vous ce que c'est ?
A whale is a mammal.,La baleine est un mammifère.
Are you interested?,Es-tu intéressé ?
Do you know where she is?,Est-ce que tu sais où elle est ?
His new car is wonderful.,Sa nouvelle voiture est merveilleuse.
Are you still there?, Tu es encore la?
Are you still there? , Tu es encore la?
The fuel gauge is broken.,La jauge d'essence est pétée.
Don't pay attention to her.,Ne lui prête pas attention.
You used to love swimming.,Tu adorais nager.
I do not understand her.,Je ne la comprends pas.
Would there be anything else?, Y aurait-il autre chose?
What do you believe now?,Que croyez-vous à présent ?
Thanks :), Merci :)
I can give you 2 options., Je peux vous donner 2 options.
Verify Customer, Vérifier le client
Please give me a few seconds., Veuillez me donner quelques secondes.
5.30E+11,5.30E+11
They're all watching us.,Ils nous regardent tous.
What's that book about?,De quoi traite ce livre ?
Forget about her.,Oublie-la.
He touched me.,Il m'a touché.
You should do that.,Vous devriez faire ça.
It is too late.,Il est trop tard.
I broke my arm.,Je me suis cassé le bras.
Lie still.,"Restez allongées, immobiles !"
Tom is no angel.,Tom n'est pas un ange.
We danced all night long.,Nous dansâmes toute la nuit.
Who has come?,Qui est venu ?
Can I have your itinerary number?, Puis-je avoir votre numéro d'itinéraire?
It's a funny movie.,C'est un film drôle.
I thought you might come.,Je pensais que tu viendrais peut-être.
I have to go now.,"Il faut que j'y aille, maintenant."
Select booking, Sélectionnez la réservation
I cut myself while shaving.,Je me suis coupée en me rasant.
Thank you for waiting., Merci pour l'attente.
Do you share a room?,Partages-tu une chambre ?
Everyone agreed.,Tout le monde fut d'accord.
Lock your doors.,Verrouillez vos portes !
We know how to find Tom.,Nous savons comment trouver Tom.
You're stupid.,Tu es idiote.
You are taller than me.,Vous êtes plus grand que moi.
It was a bad idea.,C'était une mauvaise idée.
Tom speaks perfect French.,Tom parle un français parfait.
I don't want to tell him.,Je ne veux pas le lui dire.
That boy's hair is black.,Les cheveux de ce garçon sont noirs.
Thank you., Je vous remercie.
Tom likes ponies.,Tom aime les poneys.
"Hello, are you still there? ", Bonjour vous êtes toujours là?
It is a pleasure Denise!, C'est un plaisir Denise!
I can't give up.,Je n'arrive pas à arrêter.
You think of everything.,Vous pensez à tout.
I will not tolerate this.,Je ne le tolérerai pas.
Tom returned to Australia.,Tom est retourné en Australie.
I know what they're doing.,Je sais ce qu'ils sont en train de faire.
I'm positive.,J'en suis sûr.
That can't be good for you.,Ça ne peut pas être bon pour vous.
I studied it thoroughly.,Je l'ai étudié à fond.
Are we still connected? , Sommes-nous toujours connectés?
How do you think I felt?,Que penses-tu que j'aie ressenti ?
I forgot to do that.,J'ai oublié de faire ça.
He is no longer a child.,Ce n'est plus un enfant.
She helped him tie his tie.,Elle l'aida à faire son nœud de cravate.
Verify Customer, Vérifier le client
God sent a sign.,Dieu envoya un écriteau.
Do you want to look at it?,Veux-tu y jeter un œil ?
"Perfect, allow me 3-5 minutes "," Parfait, laissez-moi 3-5 minutes"
How much are the lilies?,Combien coûtent les lys ?
My life is almost over.,Ma vie est presque achevée.
Organic food is healthier.,La nourriture bio est plus saine.
You need to do it through us, Vous devez le faire par notre intermédiaire
I have a few books.,J'ai quelques livres.
Crying is normal.,Pleurer est normal.
Not right now, Pas tout de suite
Who owns this ship?,Qui possède ce bateau ?
I'm working on my website.,Je travaille sur mon site web.
I am out of work.,Je suis sans travail.
Stay here and wait for him.,Reste ici et attends-le.
They're cannibals.,Ce sont des cannibales.
I know Tom is unemployed.,Je sais que Tom est au chômage.
We need to go.,Il nous faut nous en aller.
I suggest we hurry.,Je suggère que nous nous hâtions.
Did Tom drown?,Tom s'est-il noyé ?
OK . Thank you ., D'ACCORD . Je vous remercie .
Pardon me for saying so.,Pardonnez-moi de le dire.
I haven't seen you in ages.,Je ne vous ai pas vu depuis des lustres.
The hole is big enough.,Le trou est assez large.
Stop being so nice to me.,Arrête d'être aussi gentil avec moi !
Everyone liked Tom.,Tout le monde a aimé Tom.
You sound tired.,Vous paraissez fatigués.
I'm faster.,Je suis plus rapide.
"Ok Amy, I already checked"," Ok Amy, j'ai déjà vérifié"
He is in Tokyo.,Il est à Tokyo.
I want to join your team.,Je veux rejoindre ton équipe.
I've got a long way to go.,J'ai un long chemin à parcourir.
I listened.,J'ai écouté.
Was that weird for you?,Cela vous a-t-il semblé bizarre ?
Hi Justin. , Salut Justin.
This is all he has to do.,C'est tout ce qu'il a à faire.
So where's the problem?,Alors où est le problème ?
Try with different email, Essayez avec différents e-mails
I'm done listening to you.,J'en ai fini de t'écouter.
I have to do what's right.,Il me faut faire ce qui est juste.
We lost a lot on that job.,On a beaucoup perdu dans ce travail.
Give me 5 more minutes please., Donnez-moi 5 minutes de plus s'il vous plaît.
My father's car is new.,La voiture de mon père est nouvelle.
"In a word, life is short.","En un mot, la vie est courte."
The meat is frozen.,La viande est congelée.
I hate violence.,Je déteste la violence.
He parties too much.,Il fait trop la java.
They helped Tom.,Ils ont aidé Tom.
He publicly insulted me.,Il m'a insulté publiquement.
I owe ten dollars to her.,Je lui dois dix dollars.
I usually go to bed at ten.,En général je vais me coucher à dix heures.
Corinne thank you for your patience, Merci Corinne pour ta patience
I'll provide you their contact information. , Je vais vous fournir leurs coordonnées.
I just need a little help.,Il me faut juste un peu d'aide.
When will you come back?, Quand reviendrez-vous?
Tom is a spy.,Tom est un espion.
It's a waste.,Il s'agit d'un gaspillage.
I want to walk.,Je veux marcher.
When did you submit the form?, Quand avez-vous envoyé le formulaire?
Did you do this?,As-tu fait ceci ?
I came earlier than usual.,Je suis venu plus tôt que d'habitude.
"Hi Kris, this is Nicky! "," Salut Kris, voici Nicky!"
Here is the map.,Voici la carte !
Make a decision.,Prenez une décision !
This time is no different.,Cette fois-ci n'est pas différente.
"Thank you, I'll be right back."," Merci, je reviens tout de suite."
It is time I left here.,Il est temps que je parte.
She must have told a lie.,Elle doit avoir dit un mensonge.
She is a child after all.,"C'est une enfant, après tout."
I don't want this shirt.,Je ne veux pas cette chemise.
I didn't do it that way.,Je ne l'ai pas fait comme ça.
Verify Customer, Vérifier le client
Please stay connected., Veuillez rester connecté.
It seems to be working.,Ça a l'air de marcher.
Hi! This is Shawn. How can I assist you today?, Salut! Voici Shawn. Comment puis-je vous aider aujourd'hui?
Tom split up with Mary.,Tom a laissé Marie.
My hair is a mess.,Mes cheveux sont en pagaille.
Are you receiving my messages? , Recevez-vous mes messages?
I'm flabbergasted.,Je suis sidéré.
Let me work first on the car., Permettez-moi de travailler d'abord sur la voiture.
I baked it for you.,Je le cuisis pour toi.
How much was on the receipt? , Combien était sur le reçu?
You're on the wrong ship.,Vous êtes sur le mauvais bateau.
Are you crazy?,Es-tu folle ?
"It's may pleasure to assist you, Amanda. :)"," C'est un plaisir de vous aider, Amanda. :)"
"Is this about the flight going to Recife, Brazil?"," S'agit-il du vol vers Recife, au Brésil?"
"Click ""Contact Us"""," Cliquez sur ""Contactez-nous"""
I wasn't born yesterday.,Je ne suis pas née d'hier.
"Hold your breath, please.",Veuillez retenir votre respiration.
I was asleep.,J'étais endormie.
Verify Customer, Vérifier le client
I saw Tom earlier.,J'ai vu Tom plus tôt.
Thank you., Je vous remercie.
The slave tried to escape.,L'esclave a essayé de s'enfuir.
We talked.,Nous avons discuté.
Tom was just great.,Tom était tout simplement génial.
Are you comfortable?,Êtes-vous à votre aise ?
We're just lucky.,Nous sommes juste chanceux.
The house is warm.,Il fait bon dans la maison.
Thank you!, Je vous remercie!
Are you going out today?,Est-ce que tu sors aujourd'hui ?
"Yes, just one moment."," Oui, juste un instant."
Thanks!, Merci!
The bus was full.,Le bus était plein.
Where did you hear that?,Où as-tu entendu ça ?
It's very early.,C'est très tôt.
I think you'd better go.,Je pense que vous feriez mieux de vous en aller.
"OK, let's do this.","C'est bon, allons-y."
Are you there? , Êtes-vous là?
I'm not very good at it.,Je n'y excelle pas.
Are we still connected?, Sommes-nous toujours connectés?
Don't be a stranger.,Restez en contact.
"Hi Kristy, this is Ricardo. How can I help? "," Salut Kristy, voici Ricardo. Comment puis-je aider?"
Let's get this over with.,Terminons-en.
Hi Lidia! , Salut Lydia!
We're not done.,Nous n'en avons pas terminé.
My wife stayed at home.,Ma femme est restée à la maison.
I didn't see you until now.,Je ne t'ai pas vue jusqu'à présent.
She lives next door to him.,Elle habite à côté de lui.
"Hi Terri, sorry for the delay again."," Salut Terri, encore une fois désolé pour le retard."
Select booking, Sélectionnez la réservation
Christmas is coming soon.,Noël arrive bientôt.
We're up against the wall.,Nous sommes dos au mur.
You're very sophisticated.,Vous êtes très raffinés.
Are you hurt?,Vous êtes-vous blessés ?
Take a picture.,Prends une photo.
How can this be possible?,Comment cela se peut-il ?
What is the reason of cancellation?, Quelle est la raison de l'annulation?
They are very cheerful.,Elles sont fort joyeuses.
I'm not on duty.,Je suis pas en service.
Turn right there.,Tournez là-devant à droite.
Do you want a hand?,Voulez-vous de l'aide ?
Stop bothering me!,Arrête de m’embêter !
Boxing is boring.,La boxe est ennuyante.
You saved us all.,Vous nous avez toutes sauvées.
"Yes, you will."," Oui, vous le ferez."
This is silly.,C'est idiot !
No one loves war.,Personne n'aime la guerre.
Give me five days.,Donne-moi cinq jours.
Was it for the flight to Panama City on May 31st?, Était-ce pour le vol vers Panama City le 31 mai?
For sure. , Pour sûr.
That was quite a speech.,C'était un sacré discours.
 Tell me more details  please., Dites-moi plus de détails s'il vous plaît.
"I know Tom does that, too.",Je sais que Tom le fait aussi.
I will teach you.,Je te l'enseignerai.
They forgot to wake me up.,Ils ont oublié de me réveiller.
Cancel booking, Annuler la réservation
"Susana, May I know your email address? "," Susana, puis-je connaître votre adresse e-mail?"
I know Tom is done.,Je sais que c'est fini pour Tom.
It hadn't crossed my mind.,Cela ne m'est pas venu à l'esprit.
I was expecting it!,Je m'y attendais !
I'm calling Tom.,J'appelle Tom.
They water the fruit trees.,Ils arrosent les arbres fruitiers.
We have great news.,Nous avons de bonnes nouvelles ?
I freaked out.,J'ai flippé.
He asked for a pay raise.,Il a demandé une augmentation.
We would have helped them.,Nous les aurions aidés.
It's bound to rain.,Il va certainement pleuvoir.
He is walking now.,Il est actuellement en train de marcher.
Thanks! Have a great day., Merci! Passez une bonne journée.
I'd like my coffee weak.,J'aime mon café léger.
Was his story true?,Était-elle vraie son histoire ?
"Justice, are you still with me?"," Justice, tu es toujours avec moi?"
Are you studying?,Étudies-tu ?
Is that the one you got?, C'est celui que vous avez?
I spilled the milk.,J'ai renversé le lait.
You're welcome. , De rien.
Let me check if it's possible., Permettez-moi de vérifier si c'est possible.
Not everyone is honest.,Tout le monde n'est pas honnête.
You're quite safe.,Tu es en sûreté.
The piano has a good tone.,Le piano a un bon timbre.
How come the sky is blue?,Comment se fait-il que le ciel soit bleu ?
I feel so alive right now.,"Je me sens tellement en vie, en ce moment."
You're naive.,Tu es naïf.
No need to worry.,Pas de quoi s'inquiéter.
Check for airline credit, Vérifiez le crédit de la compagnie aérienne
There is hope.,Il y a de l'espoir.
No one followed me.,Personne ne me suivit.
It's a good thing.,C'est une bonne chose.
And cancelling your reservation. , Et annuler votre réservation.
I'm having fun.,Je m'amuse.
Tom is there to help Mary.,Tom est là-bas pour aider Mary.
Would you draw me a map?,Pourriez-vous me dessiner un plan ?
I'm going to take my car.,Je vais prendre ma voiture.
You have to see it.,Il faut que vous le voyiez.
The three were arrested.,Les trois furent arrêtés.
Still there?, Toujours là?
You did say that.,Vous aviez effectivement dit cela.
Were you busy yesterday?,Étiez-vous occupé hier ?
They're looking for you.,Elles te cherchent.
"Thanks, Can I have your first name."," Merci, puis-je avoir votre prénom."
How did you find me?,Comment m'avez-vous trouvé ?
Go play in traffic.,Va te faire pendre.
Noted on that. , A noté à ce sujet.
"That was wrong, of course.","C'était mal, bien sûr."
We can't do it.,Nous ne pouvons pas le faire.
Thank you for the information. , Merci pour l'information.
I can do better than that.,Je peux faire mieux que ça.
Please get out of my way.,Bouge de mon chemin s'il-te-plait.
"Just an update, I'am talking with them now."," Juste une mise à jour, je parle avec eux maintenant."
Most welcome!, Bienvenue!
Don't hang up!,Ne raccroche pas !
"No, you can't.","Non, vous ne pouvez pas."
Everyone escaped.,Tout le monde s'est enfui.
No one can do that.,Personne n'arrive à faire ça.
My dog ate it.,Mon chien l'a bouffé.
I'm a night owl.,Je suis un oiseau de nuit.
Verify Customer, Vérifier le client
I put cream in my coffee.,Je mets du lait dans mon café.
Put this in French.,Mets ça en français.
You need to be careful.,Il vous faut être prudent.
I believe it to be true.,Je crois que c'est vrai.
"Oh, I do apologize for that."," Oh, je m'en excuse."
How about the email on the reservation?, Que diriez-vous de l'email sur la réservation?
I want you back.,Je veux que vous soyez revenu.
They're undamaged.,Ils sont intacts.
"Ohhh, the call dropped. Let me call them again."," Ohhh, l'appel a chuté. Permettez-moi de les rappeler."
I do not like music.,Je n'aime pas la musique.
Why are you busy today?,Pourquoi êtes-vous occupée aujourd'hui ?
She lives quite close by.,Elle vit assez près d'ici.
I saw her spike his drink.,Je l'ai vue charger son verre.
I'm going to live alone.,Je vais vivre seule.
They have plenty of water.,Ils disposent de plein d'eau.
There's too much at stake.,Il y a trop en jeu.
Let me use your computer.,Laisse moi utiliser ton ordinateur.
"Well, you've convinced me.","Eh bien, vous m'avez convaincu."
Do you live alone?,Vivez-vous seul ?
Everyone's laughing at us.,Tout le monde se moque de nous.
We don't need you.,Nous n'avons pas besoin de toi.
"Non-refundable, changeable"," Non remboursable, modifiable"
Have you ever loved a man?,As-tu déjà aimé un homme ?
Almost done. Appreciated your time., Presque fini. J'ai apprécié votre temps.
Tom likes snow.,Tom aime la neige.
It's all settled.,C'est tout réglé.
The baby's name was Tom.,Le bébé s'appelait Tom.
Life is full of surprises.,La vie est pleine de surprises.
May I put it here?,Puis-je le mettre là ?
Everything is gone.,Tout est parti.
Tom is from a small town.,Tom vient d'une bourgade.
Where is the dog?,Où est le chien ?
My favorite color is red.,Ma couleur préférée est le rouge.
You're absolutely right.,Vous avez parfaitement raison.
Keep on trying.,Continue d'essayer.
We'll manage.,Nous gèrerons.
We all have stomachaches.,Nous avons tous mal à l'estomac.
You're most welcome., Je vous en prie.
"Alright, it's all set."," D'accord, tout est prêt."
He is a kind boy.,C'est un gentil garçon.
You can do it.,Vous pouvez le faire.
Where are your car keys?,Où sont vos clés de voiture ?
I won.,J’ai gagné.
Verify Customer, Vérifier le client
Hello there. I'm Erik., Bonjour. Je suis Erik.
They had a heated argument.,Elles ont eu une chaude dispute.
Where is your dog?,Où est ton chien ?
Verify Customer, Vérifier le client
Why don't you talk to him?,Pourquoi ne lui parles-tu pas ?
My sister started crying.,Ma sœur se mit à pleurer.
How's your old lady doing?,Comment votre compagne se porte-t-elle ?
Our apple tree is blooming.,Notre pommier est en fleurs.
You're not easy to find.,Tu n'es pas facile à trouver.
What did you do this time?,"Qu'as-tu fait, cette fois ?"
They were busy.,Ils étaient occupés.
He knows my wife.,Il connait ma femme.
This is nice.,C'est chouette.
I didn't sign up for this.,Je ne me suis pas fait embaucher pour ça.
I truly apologize.,Je vous présente de plates excuses.
Verify Customer, Vérifier le client
This looks good.,Ça a l'air bien.
Bring the key.,Emmène la clé.
I agree with you.,Je suis de ton avis.
Did you have any trouble?,Vous avez eu des problèmes ?
I just want to be happy.,Je souhaite seulement être heureuse.
Have you decided?,Vous êtes-vous décidé ?
Any other question you might have?, Une autre question que vous pourriez avoir?
"Hey, what's all the noise?","Eh, c'est quoi tout ce bruit ?"
I have a bicycle.,Je dispose d'un vélo.
wait for me a moment , attends moi un instant
Let's paint the town red.,Faisons la bringue !
I bought a new hat.,J'ai acheté un nouveau chapeau.
She told me where to go.,Elle m'a dit où aller.
We're not staying.,Nous ne restons pas.
We have a few questions.,Nous avons quelques questions.
We're done here.,"Nous en avons fini, ici."
How much is this umbrella?,Combien coûte ce parapluie ?
You should go home now.,"Vous devriez aller chez vous, maintenant."
My tailor is rich.,Mon tailleur est riche.
I have a cat.,J'ai un chat.
You have done very well.,Tu t'es très bien débrouillé.
Let me pull up the booking., Permettez-moi de tirer la réservation.
I don't remember a thing.,Je ne me rappelle rien.
I can do nothing to help.,Je ne peux rien faire pour aider.
"Fish, please.",Du poisson s'il vous plaît.
The story cannot be true.,Cette histoire ne peut être vraie.
Andrew are you still with me?," Andrew, tu es toujours avec moi?"
They're dead.,Ils sont décédés.
He gave me all his money.,Il me donna tout son argent.
"Thanks, Danny."," Merci, Danny."
"You mean, you use PayPal as your payment, right?"," Vous voulez dire que vous utilisez PayPal comme moyen de paiement, non?"
"Hi Derrick, this is Deisy. "," Salut Derrick, voici Deisy."
Are you vegetarian?,Es-tu végétarien ?
Why must I suffer?,Pourquoi dois-je souffrir ?
I don't want to grow up.,Je ne veux pas grandir.
I want you back.,Je veux que vous soyez revenue.
I'm trying to get your refund., J'essaie d'obtenir votre remboursement.
I'll help you today., Je t'aiderai aujourd'hui.
He lost his memory.,Il perdit la mémoire.
The air is damp.,L'air est humide.
Be cool.,Sois détendu !
"Yes, Henrik. Would there be anything else?"," Oui, Henrik. Y aurait-il autre chose?"
They will be safe with me.,Elles seront en sécurité avec moi.
Flour is made into bread.,"À partir de la farine, on fait du pain."
"Ok, I am cancelling the flight first, please wait."," Ok, j'annule d'abord le vol, veuillez patienter."
Thank you for holding!, Merci d'avoir tenu!
Pray for all of us.,Prie pour nous toutes !
What's your nationality?,Quelle est ta nationalité ?
I don't know what this is.,J'ignore ce que c'est.
I admit my mistake.,J'admets mon erreur.
I entered her room.,Je suis entré dans sa chambre.
May I know the reason?, Puis-je connaître la raison?
Select booking, Sélectionnez la réservation
Done escalating your case now. :), Terminé l'escalade de votre cas maintenant. :)
The weather turned bad.,Le temps devint mauvais.
He's not in.,Il n'est pas chez lui.
Not even one taxi stopped.,Pas même un seul taxi ne s'est arrêté.
I can do it for you.,Je peux le faire pour toi.
How long do I have to stay?,Combien de temps dois-je rester ?
